,Date,StockCode,StockName,Value,ValueFormatted,ChangeDay,ChangeDayFormatted,Change12M,Change12MFormatted,Volume,VolumeFormatted
0,2025-07-21T17:07:00,VALE3,VALE ON NM,56.05,"56,05",2.73094,"2,73",-1.03608,"-1,03",2133133047.0,"2,13 B"
1,2025-07-21T17:07:00,BBAS3,BRASIL ON NM,19.86,"19,86",-1.97433,"-1,97",-20.79287,"-20,79",778456699.0,"778,46 M"
2,2025-07-21T17:07:00,PETR4,PETROBRAS PN N2,31.05,"31,05",0.19361,"0,19",-6.77803,"-6,77",437998811.0,438 M
3,2025-07-21T17:07:00,BBDC4,BRADESCO PN N1,15.68,"15,68",0.06382,"0,06",36.20452,"36,20",375885858.0,"375,89 M"
4,2025-07-21T17:07:00,EMBR3,EMBRAER ON NM,68.12,"68,12",-0.26354,"-0,26",64.23441,"64,23",342696259.0,"342,7 M"
5,2025-07-21T17:07:00,ITUB4,ITAUUNIBANCOPN N1,35.48,"35,48",1.16909,"1,16",22.6434,"22,64",326106506.0,"326,11 M"
6,2025-07-21T17:07:00,B3SA3,B3 ON NM,13.1,"13,10",1.00231,"1,00",19.81853,"19,81",291644099.0,"291,64 M"
7,2025-07-21T17:07:00,WEGE3,WEG ON NM,41.97,"41,97",-0.94406,"-0,94",-9.84024,"-9,84",288632894.0,"288,63 M"
8,2025-07-21T17:07:00,FLRY3,FLEURY ON NM,14.51,"14,51",14.88519,"14,88",0.05241,"0,05",259035181.0,"259,04 M"
9,2025-07-21T17:07:00,ABEV3,AMBEV S/A ON,13.42,"13,42",0.75075,"0,75",22.60298,"22,60",237927485.0,"237,93 M"
10,2025-07-21T17:07:00,LREN3,LOJAS RENNERON NM,17.47,"17,47",-1.46644,"-1,46",53.45561,"53,45",202832641.0,"202,83 M"
11,2025-07-21T17:07:00,RENT3,LOCALIZA ON NM,35.82,"35,82",0.05587,"0,05",-14.02753,"-14,02",176094602.0,"176,09 M"
12,2025-07-21T17:07:00,PRIO3,PETRORIO ON NM,42.76,"42,76",-1.2243,"-1,22",-5.58622,"-5,58",176089104.0,"176,09 M"
13,2025-07-21T17:07:00,SUZB3,SUZANO S.A. ON ATZ NM,51.0,"51,00",0.7706,"0,77",-2.2333,"-2,23",171711869.0,"171,71 M"
14,2025-07-21T17:07:00,RAIL3,RUMO S.A. ON NM,16.61,"16,61",0.18094,"0,18",-23.33752,"-23,33",162208104.0,"162,21 M"
15,2025-07-21T17:07:00,MGLU3,MAGAZ LUIZA ON NM,7.6,"7,60",-3.5533,"-3,55",-37.69011,"-37,69",148492721.0,"148,49 M"
16,2025-07-21T17:07:00,SBSP3,SABESP ON NM,111.21,"111,21",0.47886,"0,47",34.95704,"34,95",147750690.0,"147,75 M"
17,2025-07-21T17:07:00,GGBR4,GERDAU PN N1,16.62,"16,62",3.16574,"3,16",-8.29535,"-8,29",136921101.0,"136,92 M"
18,2025-07-21T17:07:00,PETR3,PETROBRAS ON N2,33.73,"33,73",0.26754,"0,26",-7.05019,"-7,05",132408720.0,"132,41 M"
19,2025-07-21T17:07:00,VBBR3,VIBRA ON NM,20.25,"20,25",0.04941,"0,04",-6.57698,"-6,57",130576995.0,"130,58 M"
20,2025-07-21T17:07:00,INBR32,INTER CO DR2,37.93,"37,93",-1.98966,"-1,98",-0.01107,"-0,01",130255748.08,"130,26 M"
21,2025-07-21T17:07:00,BBSE3,BBSEGURIDADEON NM,34.46,"34,46",0.40793,"0,40",11.3963,"11,39",122930717.0,"122,93 M"
22,2025-07-21T17:07:00,RDOR3,REDE D OR ON NM,33.02,"33,02",0.39526,"0,39",20.37037,"20,37",121387921.0,"121,39 M"
23,2025-07-21T17:07:00,ITSA4,ITAUSA PN N1,10.56,"10,56",1.05263,"1,05",17.20311,"17,20",113287262.0,"113,29 M"
24,2025-07-21T17:07:00,ELET3,ELETROBRAS ON N1,39.07,"39,07",0.28234,"0,28",10.25169,"10,25",112356204.0,"112,36 M"
25,2025-07-21T17:07:00,VIVA3,VIVARA S.A. ON NM,25.7,"25,70",0.46912,"0,46",17.8964,"17,89",109285869.0,"109,29 M"
26,2025-07-21T17:07:00,CSAN3,COSAN ON NM,5.83,"5,83",-2.18121,"-2,18",-58.44619,"-58,44",109123654.0,"109,12 M"
27,2025-07-21T17:07:00,CYRE3,CYRELA REALTON NM,26.33,"26,33",-0.94056,"-0,94",37.47768,"37,47",108278240.0,"108,28 M"
28,2025-07-21T17:07:00,CPLE6,COPEL PNB N2,11.91,"11,91",0.25253,"0,25",27.09287,"27,09",103848302.0,"103,85 M"
29,2025-07-21T17:07:00,RADL3,RAIADROGASILON NM,14.01,"14,01",3.54767,"3,54",-44.65863,"-44,65",102707395.0,"102,71 M"
30,2025-07-21T17:07:00,TOTS3,TOTVS ON NM,42.11,"42,11",0.98321,"0,98",53.27553,"53,27",100376315.0,"100,38 M"
31,2025-07-21T17:07:00,EQTL3,EQUATORIAL ON NM,34.34,"34,34",0.35067,"0,35",8.71733,"8,71",95546060.0,"95,55 M"
32,2025-07-21T17:07:00,MOTV3,MOTIVA SA ON NM,12.42,"12,42",-1.03586,"-1,03",2.58274,"2,58",90400938.0,"90,4 M"
33,2025-07-21T17:07:00,SMFT3,SMART FIT ON NM,21.53,"21,53",-1.91344,"-1,91",-0.64514,"-0,64",89674506.0,"89,67 M"
34,2025-07-21T17:07:00,VIVT3,TELEF BRASILON,31.0,"31,00",0.16155,"0,16",34.48032,"34,48",88828733.0,"88,83 M"
35,2025-07-21T17:07:00,HAPV3,HAPVIDA ON NM,31.49,"31,49",-2.17459,"-2,17",-46.03256,"-46,03",87102084.0,"87,1 M"
36,2025-07-21T17:07:00,HYPE3,HYPERA ON NM,26.02,"26,02",-1.514,"-1,51",-3.95015,"-3,95",86976312.0,"86,98 M"
37,2025-07-21T17:07:00,PSSA3,PORTO SEGUROON NM,52.05,"52,05",0.46323,"0,46",80.72979,"80,72",80556471.0,"80,56 M"
38,2025-07-21T17:07:00,CSNA3,SID NACIONALON,7.99,"7,99",2.17391,"2,17",-33.60148,"-33,60",78876153.0,"78,88 M"
39,2025-07-21T17:07:00,TIMS3,TIM ON NM,20.25,"20,25",-0.5891,"-0,58",31.83594,"31,83",76895363.0,"76,9 M"
40,2025-07-21T17:07:00,BRAV3,BRAVA ON ATZ NM,18.46,"18,46",-1.49413,"-1,49",-31.98231,"-31,98",76351852.0,"76,35 M"
41,2025-07-21T17:07:00,MRFG3,MARFRIG ON NM,22.83,"22,83",0.83922,"0,83",137.8125,"137,81",76040534.0,"76,04 M"
42,2025-07-21T17:07:00,PCAR3,P.ACUCAR-CBDON NM,3.34,"3,34",-7.73481,"-7,73",14.77663,"14,77",73755615.0,"73,76 M"
43,2025-07-21T17:07:00,ALOS3,ALLOS ON NM,21.59,"21,59",-0.36917,"-0,36",4.3096,"4,30",72189289.0,"72,19 M"
44,2025-07-21T17:07:00,YDUQ3,YDUQS PART ON NM,13.13,"13,13",-1.2782,"-1,27",20.91575,"20,91",71423970.0,"71,42 M"
45,2025-07-21T17:07:00,MULT3,MULTIPLAN ON N2,25.35,"25,35",0.43582,"0,43",7.33294,"7,33",66808802.0,"66,81 M"
46,2025-07-21T17:07:00,SRNA3,SERENA ON NM,11.77,"11,77",0.08503,"0,08",33.29558,"33,29",65498973.0,"65,5 M"
47,2025-07-21T17:07:00,BRFS3,BRF SA ON NM,21.4,"21,40",4.90196,"4,90",4.32307,"4,32",65325823.0,"65,33 M"
48,2025-07-21T17:07:00,ASAI3,ASSAI ON NM,9.73,"9,73",0.10288,"0,10",-6.26656,"-6,26",65178302.0,"65,18 M"
49,2025-07-21T17:07:00,POMO4,MARCOPOLO PN N2,8.25,"8,25",1.22699,"1,22",34.2686,"34,26",64327374.0,"64,33 M"
50,2025-07-21T17:07:00,DIRR3,DIRECIONAL ON NM,40.25,"40,25",-0.02484,"-0,02",58.33678,"58,33",62599159.0,"62,6 M"
51,2025-07-21T17:07:00,CSMG3,COPASA ON NM,25.84,"25,84",-1.07198,"-1,07",34.92134,"34,92",62027352.0,"62,03 M"
52,2025-07-21T17:07:00,COGN3,COGNA ON ON NM,2.59,"2,59",0.0,"0,00",59.5024,"59,50",61563204.0,"61,56 M"
53,2025-07-21T17:13:00,RAPT4,RANDON PART PN ES N1,7.36,"7,36",-6.4803,"-6,48",-33.19779,"-33,19",60719555.0,"60,72 M"
54,2025-07-21T17:07:00,BRAP4,BRADESPAR PN N1,16.58,"16,58",2.40889,"2,40",-2.60808,"-2,60",55387951.0,"55,39 M"
55,2025-07-21T17:07:00,BBDC3,BRADESCO ON N1,13.48,"13,48",0.22305,"0,22",27.06193,"27,06",55125176.0,"55,13 M"
56,2025-07-21T17:07:00,UGPA3,ULTRAPAR ON NM,15.74,"15,74",0.25478,"0,25",-29.50997,"-29,50",53764774.0,"53,76 M"
57,2025-07-21T17:07:00,GOAU4,GERDAU MET PN N1,9.31,"9,31",3.44444,"3,44",-12.84077,"-12,84",52848718.0,"52,85 M"
58,2025-07-21T17:07:00,CPFE3,CPFL ENERGIAON NM,38.31,"38,31",0.34049,"0,34",25.46998,"25,46",49674276.0,"49,67 M"
59,2025-07-21T17:07:00,USIM5,USIMINAS PNA N1,4.01,"4,01",2.29592,"2,29",-52.98945,"-52,98",47440382.0,"47,44 M"
60,2025-07-21T17:07:00,CMIG4,CEMIG PN N1,10.48,"10,48",0.96339,"0,96",16.97473,"16,97",46153013.0,"46,15 M"
61,2025-07-21T17:07:00,BRKM5,BRASKEM PNA N1,8.43,"8,43",1.81159,"1,81",-53.98472,"-53,98",45801173.0,"45,8 M"
62,2025-07-21T17:07:00,MRVE3,MRV ON NM,5.89,"5,89",-1.0084,"-1,00",-12.61128,"-12,61",44490687.0,"44,49 M"
63,2025-07-21T17:07:00,TEND3,TENDA ON NM,21.38,"21,38",-4.89324,"-4,89",74.80459,"74,80",39411079.0,"39,41 M"
64,2025-07-21T17:07:00,ENEV3,ENEVA ON NM,13.8,"13,80",0.80351,"0,80",9.87261,"9,87",38723804.0,"38,72 M"
65,2025-07-21T17:07:00,NATU3,NATURA ON NM,9.4,"9,40",-1.15668,"-1,15",-37.62442,"-37,62",37719110.0,"37,72 M"
66,2025-07-21T17:07:00,CMIN3,CSNMINERACAOON N2,5.28,"5,28",4.7619,"4,76",16.67477,"16,67",37143544.0,"37,14 M"
67,2025-07-21T17:07:00,BEEF3,MINERVA ON NM,5.13,"5,13",0.19531,"0,19",-3.03191,"-3,03",36629438.0,"36,63 M"
68,2025-07-21T17:07:00,PETZ3,PETZ ON ATZ NM,4.01,"4,01",1.51899,"1,51",8.81659,"8,81",35920132.0,"35,92 M"
69,2025-07-21T17:07:00,INTB3,INTELBRAS ON NM,14.85,"14,85",2.06186,"2,06",-29.837,"-29,83",35058156.0,"35,06 M"
70,2025-07-21T17:07:00,MOVI3,MOVIDA ON NM,6.14,"6,14",-3.30709,"-3,30",5.02369,"5,02",32427825.0,"32,43 M"
71,2025-07-21T17:07:00,VAMO3,VAMOS ON NM,3.86,"3,86",0.52083,"0,52",-53.66536,"-53,66",32386600.0,"32,39 M"
72,2025-07-21T17:07:00,ANIM3,ANIMA ON NM,3.61,"3,61",-1.36612,"-1,36",18.87122,"18,87",32139131.0,"32,14 M"
73,2025-07-21T17:06:00,CURY3,CURY S/A ON NM,29.57,"29,57",-0.8051,"-0,80",45.16446,"45,16",31639860.0,"31,64 M"
74,2025-07-21T17:07:00,CPLE3,COPEL ON N2,11.1,"11,10",-0.09001,"-0,09",33.86235,"33,86",31354367.0,"31,35 M"
75,2025-07-21T17:07:00,GGPS3,GPS ON NM,14.97,"14,97",-1.0575,"-1,05",-9.45765,"-9,45",31165406.0,"31,17 M"
76,2025-07-21T17:07:00,EGIE3,ENGIE BRASILON NM,41.97,"41,97",0.62335,"0,62",-2.90521,"-2,90",30917865.0,"30,92 M"
77,2025-07-21T17:07:00,CEAB3,CEA MODAS ON NM,16.78,"16,78",1.5124,"1,51",87.73565,"87,73",30473017.0,"30,47 M"
78,2025-07-21T17:07:00,CXSE3,CAIXA SEGURION NM,13.96,"13,96",-0.07158,"-0,07",3.70007,"3,70",29282003.0,"29,28 M"
79,2025-07-21T17:07:00,CVCB3,CVC BRASIL ON NM,2.31,"2,31",-3.34728,"-3,34",23.52941,"23,52",26924512.0,"26,92 M"
80,2025-07-21T17:07:00,ISAE4,ISA ENERGIA PN N1,22.58,"22,58",0.62389,"0,62",0.22237,"0,22",25637940.0,"25,64 M"
81,2025-07-21T17:07:00,AZZA3,AZZAS 2154 ON NM,35.53,"35,53",-0.4483,"-0,44",-31.05817,"-31,05",25247431.0,"25,25 M"
82,2025-07-21T17:07:00,SLCE3,SLC AGRICOLAON NM,18.09,"18,09",-0.6044,"-0,60",-3.82673,"-3,82",25068597.0,"25,07 M"
83,2025-07-21T17:07:00,ELET6,ELETROBRAS PNB N1,42.63,"42,63",0.37674,"0,37",8.22901,"8,22",24635580.0,"24,64 M"
84,2025-07-21T17:06:00,SBFG3,GRUPO SBF ON NM,11.73,"11,73",-1.59396,"-1,59",-8.68184,"-8,68",24504090.0,"24,5 M"
85,2025-07-21T17:07:00,AZUL4,AZUL PN N2,0.67,"0,67",6.34921,"6,34",-92.00477,"-92,00",23341702.0,"23,34 M"
86,2025-07-21T16:54:00,BIAU39,GOLD TRUST DRE,89.16,"89,16",0.81411,"0,81",40.43156,"40,43",23125808.79,"23,13 M"
87,2025-07-21T17:07:00,ORVR3,ORIZON ON NM,48.41,"48,41",-1.20408,"-1,20",13.58517,"13,58",22539632.0,"22,54 M"
88,2025-07-21T17:07:00,SMTO3,SAO MARTINHOON NM,17.64,"17,64",-0.7874,"-0,78",-42.86084,"-42,86",20835444.0,"20,84 M"
89,2025-07-21T17:07:00,AURE3,AUREN ON NM,9.05,"9,05",1.23043,"1,23",-26.20438,"-26,20",20296996.0,"20,3 M"
90,2025-07-21T17:07:00,CASH3,MELIUZ ON NM,6.44,"6,44",-4.73373,"-4,73",80.70599,"80,70",19910144.0,"19,91 M"
91,2025-07-21T17:06:00,NEOE3,NEOENERGIA ON NM,23.45,"23,45",-0.21277,"-0,21",31.57895,"31,57",19022293.0,"19,02 M"
92,2025-07-21T17:07:00,ITUB3,ITAUUNIBANCOON N1,31.7,"31,70",1.08418,"1,08",29.85311,"29,85",18853257.0,"18,85 M"
93,2025-07-21T17:07:00,DXCO3,DEXCO ON NM,5.4,"5,40",5.05837,"5,05",-21.97547,"-21,97",17407891.0,"17,41 M"
94,2025-07-21T17:07:00,IRBR3,IRBBRASIL REON NM,44.0,"44,00",-0.45249,"-0,45",46.71557,"46,71",17407875.0,"17,41 M"
95,2025-07-21T17:07:00,MDNE3,MOURA DUBEUXON NM,20.56,"20,56",-2.65152,"-2,65",68.95806,"68,95",17405005.0,"17,41 M"
96,2025-07-21T17:07:00,STBP3,SANTOS BRP ON NM,13.89,"13,89",0.21645,"0,21",18.53761,"18,53",16998855.0,17 M
97,2025-07-21T17:06:00,ABCB4,ABC BRASIL PN N2,20.36,"20,36",-2.11538,"-2,11",-2.53943,"-2,53",16923454.0,"16,92 M"
98,2025-07-21T17:06:00,JHSF3,JHSF PART ON NM,4.95,"4,95",-1.78571,"-1,78",33.76209,"33,76",15539894.0,"15,54 M"
99,2025-07-21T17:07:00,RAIZ4,RAIZEN PN N2,1.49,"1,49",-1.97368,"-1,97",-51.14113,"-51,14",15508984.0,"15,51 M"
100,2025-07-21T17:06:00,BRSR6,BANRISUL PNB N1,10.53,"10,53",-0.75401,"-0,75",-1.77422,"-1,77",15332024.0,"15,33 M"
101,2025-07-21T17:06:00,ODPV3,ODONTOPREV ON NM,11.35,"11,35",0.44248,"0,44",3.05628,"3,05",15109255.0,"15,11 M"
102,2025-07-21T17:07:00,RECV3,PETRORECSA ON NM,13.56,"13,56",-1.31004,"-1,31",-26.76288,"-26,76",15038091.0,"15,04 M"
103,2025-07-21T17:07:00,EZTC3,EZTEC ON NM,13.02,"13,02",-0.53476,"-0,53",-0.97805,"-0,97",15030725.0,"15,03 M"
104,2025-07-21T17:07:00,PLPL3,PLANOEPLANO ON NM,13.71,"13,71",-0.29091,"-0,29",37.38989,"37,38",14810049.0,"14,81 M"
105,2025-07-21T17:07:00,HBSA3,HIDROVIAS ON NM,3.7,"3,70",2.20994,"2,20",4.1696,"4,16",14139019.0,"14,14 M"
106,2025-07-21T17:06:00,SIMH3,SIMPAR ON NM,4.13,"4,13",-2.82353,"-2,82",-34.26812,"-34,26",13775514.0,"13,78 M"
107,2025-07-21T17:07:00,LWSA3,LWSA ON NM,3.81,"3,81",-2.30769,"-2,30",-10.51717,"-10,51",13724590.0,"13,72 M"
108,2025-07-21T17:07:00,ECOR3,ECORODOVIAS ON NM,6.64,"6,64",-2.20913,"-2,20",-6.47887,"-6,47",13653188.0,"13,65 M"
109,2025-07-21T17:06:00,VULC3,VULCABRAS ON ED NM,18.6,"18,60",-1.22146,"-1,22",31.29844,"31,29",13185152.0,"13,19 M"
110,2025-07-21T17:06:00,ARML3,ARMAC ON NM,3.85,"3,85",-1.78571,"-1,78",-59.66052,"-59,66",12873968.0,"12,87 M"
111,2025-07-21T17:07:00,TTEN3,3TENTOS ON NM,13.55,"13,55",1.8797,"1,87",26.51019,"26,51",12746434.0,"12,75 M"
112,2025-07-21T17:06:00,BPAN4,BANCO PAN PN N1,7.71,"7,71",1.44737,"1,44",-8.55069,"-8,55",12300317.0,"12,3 M"
113,2025-07-21T17:06:00,GMAT3,GRUPO MATEUSON NM,7.61,"7,61",-1.29702,"-1,29",9.64944,"9,64",11674422.0,"11,67 M"
